skill_id,skill
383,Canonical-Correlation Analysis (CCA)
396,Cassandra DB
400,Central Limit Theorem
408,Chart
411,Chatbot
427,Classfication
443,Cloud Application
447,Cloud Database Management System
448,Cloud Foundry
449,Cloud Platform
452,Cloud Technology
453,CloudBolt
454,CloudStack
459,Cluster-computing Framework
460,Clustering
461,Clustering Using Representatives (CURE)
465,Cocaine
477,Collocation Extraction
480,Column-oriented Database Management System
485,Command Language
486,Command-Line Interface
487,Command-Line Interpreter
523,Compound Term Processing
537,Computer Accessibility
551,Computer Systems Organization
557,Computer-Assisted Reviewing
558,Computer-Assisted Translation (CAT)
562,Computing Platform
564,Concept Mining
567,Concordancer
569,Concurrent Computing
3075,conda
573,Conditional Random Field (CRF)
610,Convolutional Neural Network (CNN)
611,Convolutional Neural Network (ConvNet)
619,Coreference Resolution
625,Correlation
632,CouchDB
638,Creatio
646,Critix Cloud
648,Cross-validation
656,Cryptogrpahy
658,CtrlS
668,Custom Slide
377,CVSNT
682,D3.js
688,Dash
689,Dashboard
695,Data Cleansing
699,Data Engineering
709,Data Preparation
715,Data Science Tool
719,Data Storytelling
724,Data Strucutre
728,Data Wrangling
738,Database Management System
731,DataRobot
744,Datawrapper
751,Decision Support System
753,Decision Tree
754,Decomposition of Time Series
757,DeepDream
759,Degree of Freedom
766,Density-Based Spatial Clustering of Applications with Noise (DBSCAN)
768,Dependability
770,Derivative
797,Digital Geometry
800,Digital Library
807,Digital marketing
808,DigitalOcean
809,Dimensionality Reduction
830,Distribution
832,Divisive Clustering
835,Document-oriented Database
836,Document-oriented Database Management System
844,Dropbox
848,E Charts
858,Echo State Network (ESN)
859,Eclipse
907,Electronic Design Automation
931,Embedded System
851,EMC Atmos
944,Energy Consumption
948,Engine Yard
955,Ensemble
958,Enterprise Information System
965,Enthought Canopy
989,Errors and Residuals
1003,Eucalyptus
1015,Example-Based Machine Translation (EBMT)
1017,Expectation-Maximization (EM)
