index,1 - Primary Education,2 - PMR / PT3,3 - SPM / O Level / SKM,4 - STPM / A Level,5 - Diploma / DVM,6 - Bachelor's,7 - Master's,8 - Doctoral (PhD),total,domain
Streaming,1,,6,2,5,4,,,18,Information Technology (IT)
Manufacturing Operations,,1,4,,10,2,,,17,Others
Product Testing,,,6,,7,4,,,17,Business
Online Business,1,1,3,,8,4,,,17,Business
Data Preparation,,1,7,,4,5,,,17,Data Science
Apparel,,1,9,,3,4,,,17,Others
Web Framework,1,,10,,4,2,,,17,Computer Science
vSphere,,3,6,,5,2,,,16,Computer Science
Common ISDN Application Programming Interface (CAPI),,2,4,1,7,2,,,16,Computer Science
Application Programming Interface (API),,2,4,1,7,2,,,16,Computer Science
Bond,,,7,,4,4,,1,16,Others
Social Information System,,2,4,1,7,2,,,16,Information Technology (IT)
Industrial Automation,1,3,7,,1,3,1,,16,Others
Big Data Analysis,,1,11,,2,1,1,,16,Data Science
Password,,,4,,11,1,,,16,Information Technology (IT)
Business Intelligence,,,6,1,4,5,,,16,Data Science
Messaging Application Programming Interface,,2,4,1,7,2,,,16,Computer Science
Marketing Analytics,2,,9,,3,2,,,16,Data Science
Legal Management,,,9,,4,3,,,16,Others
Corporate Communication,,3,7,,4,2,,,16,Business
Forestry,,2,4,,6,3,1,,16,Others
Software Architecture,,2,3,,4,7,,,16,Computer Science
Graph,,2,7,,4,3,,,16,Others
Network Architecture,,2,4,1,7,2,,,16,Information Technology (IT)
Authentication,,,6,,1,9,,,16,Information Technology (IT)
Configuration Management,2,1,8,,4,1,,,16,Business
Strategic Planning,1,,8,1,6,,,,16,Business
Performance Application Programming Interface,,2,4,1,7,2,,,16,Computer Science
Unix Shell,1,,12,,1,1,1,,16,Computer Science
Telephony Application Programming Interface,,2,4,1,7,2,,,16,Computer Science
Arts,,2,6,,2,6,,,16,Others
Management Information System (MIS),,1,6,,4,5,,,16,Business
Computer Vision,1,,3,2,5,5,,,16,Data Science
Kotlin,1,1,10,,3,1,,,16,Computer Science
Distributed System,2,,4,,6,3,1,,16,Computer Science
Profiling,1,2,1,,8,4,,,16,Computer Science
Chatbot,,1,4,,5,6,,,16,Data Science
Quantitative Research,,1,4,,4,7,,,16,Business
Tax Accounting,,3,10,,2,1,,,16,Business
React Native,,,6,,3,7,,,16,Computer Science
Materials Engineering,,5,6,,2,2,,,15,Others
Structural Engineering,,4,4,,3,4,,,15,Others
Commercial Law,1,,7,,4,3,,,15,Others
Biomaterials Engineering,,5,6,,2,2,,,15,Others
Salesforce,,1,7,,4,3,,,15,Business
